,Unnamed: 0,date,audience,creative_family,creative_version,platform,clicks,spend,impressions,reach,concatenated,total_sessions,completions
21015,21015,01/09/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.752273,1274,95,44805_4_CloserTwins_Cutdown1A_Domain Display,1,0
23876,23876,27/09/2022,5,UnfairAdvantage,All,LinkedIn,6,138.19,1274,0,44831_5_UnfairAdvantage_All_LinkedIn,6,0
1695,1695,01/05/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.820433,1274,266,44682_4_CloserTwins_Cutdown1A_Domain Display,,
6802,6802,25/05/2022,1,CloserTwins,Cutdown1A,LinkedIn,1,34.31486141,1274,270,44706_1_CloserTwins_Cutdown1A_LinkedIn,,
14905,14905,12/07/2022,4,CloserTwins,Faceoff,Domain Display,0,18.563019,1274,152,44754_4_CloserTwins_Faceoff_Domain Display,,
17238,17238,03/08/2022,4,CloserTwins,Faceoff,Domain Display,0,18.651995,1274,162,44776_4_CloserTwins_Faceoff_Domain Display,,
4304,4304,13/05/2022,4,CloseFaster,3steps,LinkedIn,3,85.65694898,1273,1273,44694_4_CloseFaster_3steps_LinkedIn,3,0
312,312,21/04/2022,4,CloserTwins,Faceoff1,LinkedIn,2,25.59240596,1273,617,44672_4_CloserTwins_Faceoff1_LinkedIn,,
3912,3912,11/05/2022,5,CloserTwins,ShapeUp,LinkedIn,1,21.68490878,1273,469,44692_5_CloserTwins_ShapeUp_LinkedIn,,
23116,23116,20/09/2022,4,CloserTwins,Cutdown1A,Domain Display,1,18.473138,1272,202,44824_4_CloserTwins_Cutdown1A_Domain Display,,
4978,4978,16/05/2022,4,CloserTwins,Faceoff1,LinkedIn,3,15.4717434,1271,469,44697_4_CloserTwins_Faceoff1_LinkedIn,3,0
6535,6535,23/05/2022,4,UnfairAdvantage,Animated,Domain Display,1,6.198388,1271,206,44704_4_UnfairAdvantage_Animated_Domain Display,1,0
19875,19875,23/08/2022,1,CloserTwins,Faster,Domain Display,0,7.485947,1271,74,44796_1_CloserTwins_Faster_Domain Display,,
24260,24260,01/10/2022,3,UnfairAdvantage,NoDTI,Domain Display,0,11.571415,1270,56,44835_3_UnfairAdvantage_NoDTI_Domain Display,1,0
25257,25257,11/10/2022,4,CloserTwins,Cutdown1A,Domain Display,0,0,1270,78,44845_4_CloserTwins_Cutdown1A_Domain Display,1,0
2349,2349,04/05/2022,4,CloserTwins,Faster,Domain Display,1,7.457131,1269,223,44685_4_CloserTwins_Faster_Domain Display,1,0
14588,14588,09/07/2022,4,UnfairAdvantage,Animated,Domain Display,2,6.176551,1269,141,44751_4_UnfairAdvantage_Animated_Domain Display,2,0
22346,22346,13/09/2022,3,UnfairAdvantage,one_page,Domain Display,0,11.345033,1269,58,44817_3_UnfairAdvantage_one_page_Domain Display,1,0
6585,6585,24/05/2022,1,CloserTwins,Cutdown1B,LinkedIn,0,35.39253471,1269,236,44705_1_CloserTwins_Cutdown1B_LinkedIn,,
6837,6837,25/05/2022,1,UnfairAdvantage,NoDTI,Domain Display,0,7.278858,1269,71,44706_1_UnfairAdvantage_NoDTI_Domain Display,,
20897,20897,31/08/2022,4,CloserTwins,Faceoff,Domain Display,0,18.688434,1269,155,44804_4_CloserTwins_Faceoff_Domain Display,,
26578,26578,27/10/2022,5,UnfairAdvantage,1099,LinkedIn,8,255.5302911,1268,0,44861_5_UnfairAdvantage_1099_LinkedIn,6,0
1759,1759,02/05/2022,1,CloserTwins,Cutdown1A,LinkedIn,0,25.19554922,1268,223,44683_1_CloserTwins_Cutdown1A_LinkedIn,,
26306,26306,22/10/2022,5,CloserTwins,CloseMore,Domain Display,4,10.336881,1268,228,44856_5_CloserTwins_CloseMore_Domain Display,,
2128,2128,03/05/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.717675,1267,338,44684_4_CloserTwins_Cutdown1A_Domain Display,4,0
7631,7631,28/05/2022,4,CloserTwins,Namaste,LinkedIn,0,17.37001197,1267,457,44709_4_CloserTwins_Namaste_LinkedIn,,
8904,8904,04/06/2022,1,CloserTwins,Faster,Domain Display,1,7.434623,1266,49,44716_1_CloserTwins_Faster_Domain Display,2,0
21497,21497,05/09/2022,5,CloserTwins,CloseMore,Domain Display,2,7.396081,1266,132,44809_5_CloserTwins_CloseMore_Domain Display,2,0
26581,26581,27/10/2022,5,UnfairAdvantage,one_page,LinkedIn,18,258.4323141,1266,0,44861_5_UnfairAdvantage_one_page_LinkedIn,8,0
13804,13804,02/07/2022,3,CloserTwins,Faster,Domain Display,0,11.252498,1266,84,44744_3_CloserTwins_Faster_Domain Display,,
8063,8063,30/05/2022,4,CloserTwins,Faster,Domain Display,2,7.480298,1265,229,44711_4_CloserTwins_Faster_Domain Display,1,0
8098,8098,30/05/2022,5,UnfairAdvantage,All,LinkedIn,15,150.86,1265,1134,44711_5_UnfairAdvantage_All_LinkedIn,12,0
16515,16515,27/07/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.45754,1265,133,44769_4_CloserTwins_Cutdown1A_Domain Display,,
6090,6090,21/05/2022,4,UnfairAdvantage,All,LinkedIn,2,50.18,1264,871,44702_4_UnfairAdvantage_All_LinkedIn,2,0
23059,23059,20/09/2022,1,CloserTwins,Competitors,Domain Display,0,7.441298,1264,27,44824_1_CloserTwins_Competitors_Domain Display,,
26072,26072,20/10/2022,1,UnfairAdvantage,NoDTI,Domain Display,0,8.893483,1263,33,44854_1_UnfairAdvantage_NoDTI_Domain Display,1,0
26169,26169,21/10/2022,2,CloseFaster,MoreAll,User ID Display,3,6.439427,1263,647,44855_2_CloseFaster_MoreAll_User ID Display,8,0
20064,20064,24/08/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.60445,1263,98,44797_4_CloserTwins_Cutdown1A_Domain Display,,
24062,24062,29/09/2022,4,CloserTwins,Faceoff,Domain Display,0,17.499454,1263,81,44833_4_CloserTwins_Faceoff_Domain Display,,
25163,25163,10/10/2022,4,CloserTwins,Faceoff,Domain Display,2,18.371628,1262,158,44844_4_CloserTwins_Faceoff_Domain Display,3,0
25609,25609,15/10/2022,2,CloserTwins,MoreLoansAll,User ID Display,5,6.738658,1262,602,44849_2_CloserTwins_MoreLoansAll_User ID Display,4,0
9761,9761,08/06/2022,4,CloseFaster,FasterAll,Domain Display,1,6.120049,1262,214,44720_4_CloseFaster_FasterAll_Domain Display,,
20065,20065,24/08/2022,4,CloserTwins,Cutdown1B,Domain Display,0,18.591828,1262,105,44797_4_CloserTwins_Cutdown1B_Domain Display,,
24808,24808,06/10/2022,4,CloseFaster,FasterAll,Domain Display,0,6.159441,1262,29,44840_4_CloseFaster_FasterAll_Domain Display,,
14804,14804,11/07/2022,4,UnfairAdvantage,Animated,Domain Display,2,6.168342,1261,115,44753_4_UnfairAdvantage_Animated_Domain Display,1,0
15766,15766,20/07/2022,4,CloserTwins,Cutdown1A,Domain Display,1,18.513163,1261,133,44762_4_CloserTwins_Cutdown1A_Domain Display,2,0
23954,23954,28/09/2022,4,CloserTwins,Faceoff,Domain Display,0,17.72191,1261,84,44832_4_CloserTwins_Faceoff_Domain Display,1,0
25605,25605,15/10/2022,2,CloseFaster,FasterAll,User ID Display,1,6.619198,1261,611,44849_2_CloseFaster_FasterAll_User ID Display,4,0
22012,22012,10/09/2022,3,UnfairAdvantage,1099,Domain Display,0,11.517126,1261,71,44814_3_UnfairAdvantage_1099_Domain Display,,
22797,22797,17/09/2022,4,CloserTwins,MoreLoansAll,Domain Display,1,6.143131,1261,68,44821_4_CloserTwins_MoreLoansAll_Domain Display,,
14147,14147,05/07/2022,4,CloserTwins,Cutdown1B,Domain Display,0,18.519928,1260,182,44747_4_CloserTwins_Cutdown1B_Domain Display,,
23422,23422,23/09/2022,4,CloseFaster,MoreAll,Domain Display,0,6.165988,1260,71,44827_4_CloseFaster_MoreAll_Domain Display,,
2567,2567,05/05/2022,4,CloserTwins,Namaste,LinkedIn,2,26.95931219,1259,724,44686_4_CloserTwins_Namaste_LinkedIn,3,0
3652,3652,10/05/2022,4,CloserTwins,Cutdown1A,Domain Display,1,18.571607,1259,325,44691_4_CloserTwins_Cutdown1A_Domain Display,1,0
24655,24655,05/10/2022,1,UnfairAdvantage,1099,Domain Display,1,8.535602,1259,18,44839_1_UnfairAdvantage_1099_Domain Display,1,0
25562,25562,14/10/2022,5,CloseFaster,FasterAll,Domain Display,1,0,1259,79,44848_5_CloseFaster_FasterAll_Domain Display,1,0
16142,16142,24/07/2022,1,UnfairAdvantage,1099,Domain Display,0,9.192303,1259,87,44766_1_UnfairAdvantage_1099_Domain Display,,
17749,17749,08/08/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.127047,1258,186,44781_4_CloserTwins_Cutdown1A_Domain Display,1,0
20188,20188,25/08/2022,4,CloserTwins,Faceoff,Domain Display,0,18.514408,1258,126,44798_4_CloserTwins_Faceoff_Domain Display,3,0
21256,21256,03/09/2022,4,CloserTwins,Cutdown1B,Domain Display,0,18.436333,1258,128,44807_4_CloserTwins_Cutdown1B_Domain Display,2,0
25161,25161,10/10/2022,4,CloserTwins,Cutdown1B,Domain Display,0,18.232562,1258,164,44844_4_CloserTwins_Cutdown1B_Domain Display,5,0
25547,25547,14/10/2022,4,CloserTwins,Cutdown1B,Domain Display,0,0,1258,108,44848_4_CloserTwins_Cutdown1B_Domain Display,2,0
9579,9579,07/06/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.560549,1257,211,44719_4_CloserTwins_Cutdown1A_Domain Display,2,0
4543,4543,14/05/2022,4,CloserTwins,ShapeUp,LinkedIn,0,15.52500649,1257,532,44695_4_CloserTwins_ShapeUp_LinkedIn,,
13500,13500,29/06/2022,4,CloserTwins,Cutdown1A,Domain Display,1,18.523703,1256,152,44741_4_CloserTwins_Cutdown1A_Domain Display,1,0
20718,20718,30/08/2022,1,UnfairAdvantage,1099,Domain Display,2,9.418496,1256,80,44803_1_UnfairAdvantage_1099_Domain Display,2,0
21258,21258,03/09/2022,4,CloserTwins,Faceoff,Domain Display,0,18.407938,1256,161,44807_4_CloserTwins_Faceoff_Domain Display,1,0
24961,24961,08/10/2022,2,CloserTwins,MoreLoansAll,User ID Display,5,6.56413,1256,649,44842_2_CloserTwins_MoreLoansAll_User ID Display,5,0
2657,2657,06/05/2022,1,UnfairAdvantage,one_page,Domain Display,1,7.735562,1255,102,44687_1_UnfairAdvantage_one_page_Domain Display,2,0
21059,21059,02/09/2022,1,CloseFaster,FasterAll,User ID Display,4,5.595764,1255,864,44806_1_CloseFaster_FasterAll_User ID Display,7,0
23209,23209,21/09/2022,3,UnfairAdvantage,one_page,Domain Display,1,11.428254,1255,40,44825_3_UnfairAdvantage_one_page_Domain Display,2,0
25599,25599,15/10/2022,1,UnfairAdvantage,NoDTI,Domain Display,1,0,1255,39,44849_1_UnfairAdvantage_NoDTI_Domain Display,,
26248,26248,22/10/2022,1,UnfairAdvantage,1099,Domain Display,0,8.599972,1255,36,44856_1_UnfairAdvantage_1099_Domain Display,,
5422,5422,18/05/2022,4,CloserTwins,MoreLoansAll,Domain Display,0,6.116409,1254,253,44699_4_CloserTwins_MoreLoansAll_Domain Display,1,0
6308,6308,22/05/2022,4,CloserTwins,Paperwork,LinkedIn,2,14.69795251,1254,343,44703_4_CloserTwins_Paperwork_LinkedIn,1,0
8660,8660,02/06/2022,4,CloserTwins,Cutdown1A,Domain Display,1,18.510204,1254,275,44714_4_CloserTwins_Cutdown1A_Domain Display,3,0
20208,20208,25/08/2022,5,CloserTwins,Competitors,Domain Display,2,7.350512,1254,133,44798_5_CloserTwins_Competitors_Domain Display,4,0
25354,25354,12/10/2022,4,CloserTwins,Cutdown1A,Domain Display,1,0,1254,76,44846_4_CloserTwins_Cutdown1A_Domain Display,1,0
23728,23728,26/09/2022,3,UnfairAdvantage,one_page,Domain Display,0,11.260253,1254,40,44830_3_UnfairAdvantage_one_page_Domain Display,,
9029,9029,04/06/2022,4,CloserTwins,Cutdown1A,Domain Display,1,18.495919,1253,191,44716_4_CloserTwins_Cutdown1A_Domain Display,3,0
14776,14776,11/07/2022,3,CloserTwins,Faster,Domain Display,0,11.14161,1253,44,44753_3_CloserTwins_Faster_Domain Display,1,0
6298,6298,22/05/2022,4,CloserTwins,Cutdown1A,LinkedIn,1,14.89374864,1253,343,44703_4_CloserTwins_Cutdown1A_LinkedIn,,
15877,15877,21/07/2022,4,CloserTwins,Faceoff,Domain Display,0,18.425433,1253,151,44763_4_CloserTwins_Faceoff_Domain Display,,
23634,23634,25/09/2022,4,CloserTwins,Cutdown1A,Domain Display,0,17.341949,1252,84,44829_4_CloserTwins_Cutdown1A_Domain Display,2,0
3735,3735,11/05/2022,1,CloserTwins,Namaste,LinkedIn,2,32.41504697,1252,268,44692_1_CloserTwins_Namaste_LinkedIn,,
15642,15642,19/07/2022,3,UnfairAdvantage,1099,Domain Display,1,11.236159,1252,77,44761_3_UnfairAdvantage_1099_Domain Display,,
19377,19377,18/08/2022,3,CloserTwins,Faster,Domain Display,0,0,1252,106,44791_3_CloserTwins_Faster_Domain Display,,
13597,13597,30/06/2022,3,UnfairAdvantage,one_page,Domain Display,1,11.311671,1251,52,44742_3_UnfairAdvantage_one_page_Domain Display,,
16148,16148,24/07/2022,1,UnfairAdvantage,one_page,Domain Display,1,3.615168,1250,41,44766_1_UnfairAdvantage_one_page_Domain Display,1,0
19479,19479,19/08/2022,3,CloserTwins,Faster,Domain Display,0,0,1250,87,44792_3_CloserTwins_Faster_Domain Display,,
22513,22513,15/09/2022,1,CloserTwins,CloseMore,Domain Display,0,7.329417,1250,34,44819_1_CloserTwins_CloseMore_Domain Display,,
7839,7839,29/05/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.437422,1249,197,44710_4_CloserTwins_Cutdown1A_Domain Display,1,0
9057,9057,04/06/2022,5,UnfairAdvantage,All,LinkedIn,11,87.57,1249,1220,44716_5_UnfairAdvantage_All_LinkedIn,4,0
10203,10203,11/06/2022,1,UnfairAdvantage,1099,Domain Display,0,8.305847,1249,69,44723_1_UnfairAdvantage_1099_Domain Display,1,0
25039,25039,09/10/2022,2,CloseFaster,MoreAll,User ID Display,5,6.455989,1249,623,44843_2_CloseFaster_MoreAll_User ID Display,7,0
8841,8841,03/06/2022,4,CloseFaster,MoreAll,Domain Display,1,6.100659,1249,252,44715_4_CloseFaster_MoreAll_Domain Display,,
13102,13102,26/06/2022,4,CloserTwins,MoreLoansAll,Domain Display,1,6.105355,1249,165,44738_4_CloserTwins_MoreLoansAll_Domain Display,,
20238,20238,26/08/2022,1,CloserTwins,Faster,Domain Display,0,7.324548,1249,79,44799_1_CloserTwins_Faster_Domain Display,,
22793,22793,17/09/2022,4,CloserTwins,Cutdown1B,Domain Display,0,18.203825,1249,87,44821_4_CloserTwins_Cutdown1B_Domain Display,,
8533,8533,02/06/2022,1,CloserTwins,Faster,Domain Display,0,7.343711,1248,72,44714_1_CloserTwins_Faster_Domain Display,1,0
20186,20186,25/08/2022,4,CloserTwins,Cutdown1B,Domain Display,0,18.377755,1248,143,44798_4_CloserTwins_Cutdown1B_Domain Display,1,0
11527,11527,18/06/2022,1,UnfairAdvantage,NoDTI,Domain Display,2,8.545181,1248,73,44730_1_UnfairAdvantage_NoDTI_Domain Display,,
23754,23754,26/09/2022,5,CloseFaster,FasterAll,Domain Display,0,5.941095,1247,80,44830_5_CloseFaster_FasterAll_Domain Display,1,0
15435,15435,17/07/2022,4,CloseFaster,FasterAll,Domain Display,0,5.124212,1247,100,44759_4_CloseFaster_FasterAll_Domain Display,,
8850,8850,03/06/2022,4,CloserTwins,MoreLoansAll,Domain Display,1,6.092152,1246,219,44715_4_CloserTwins_MoreLoansAll_Domain Display,,
9994,9994,10/06/2022,1,CloserTwins,Competitors,Domain Display,0,7.361761,1246,50,44722_1_CloserTwins_Competitors_Domain Display,,
23237,23237,21/09/2022,5,CloseFaster,MoreAll,Domain Display,1,6.005632,1245,51,44825_5_CloseFaster_MoreAll_Domain Display,1,0
24198,24198,30/09/2022,5,UnfairAdvantage,All,LinkedIn,11,143.37,1245,0,44834_5_UnfairAdvantage_All_LinkedIn,4,0
15148,15148,14/07/2022,5,UnfairAdvantage,All,LinkedIn,7,151.32,1244,1115,44756_5_UnfairAdvantage_All_LinkedIn,6,0
20308,20308,26/08/2022,4,CloserTwins,Faceoff,Domain Display,0,18.260814,1244,99,44799_4_CloserTwins_Faceoff_Domain Display,,
25792,25792,17/10/2022,1,UnfairAdvantage,NoDTI,Domain Display,1,0,1244,42,44851_1_UnfairAdvantage_NoDTI_Domain Display,,
7450,7450,27/05/2022,6,SEM Ads,Change Wholesale,Google SEM,37,16.58,165,0,44708_6_SEM Ads_Change Wholesale_Google SEM,74,21
25450,25450,13/10/2022,4,CloserTwins,Cutdown1A,Domain Display,0,0,1241,82,44847_4_CloserTwins_Cutdown1A_Domain Display,1,0
25546,25546,14/10/2022,4,CloserTwins,Cutdown1A,Domain Display,0,0,1240,107,44848_4_CloserTwins_Cutdown1A_Domain Display,1,0
21701,21701,07/09/2022,4,CloserTwins,MoreLoansAll,Domain Display,1,6.068666,1240,148,44811_4_CloserTwins_MoreLoansAll_Domain Display,,
24957,24957,08/10/2022,2,CloseFaster,FasterAll,User ID Display,1,6.51795,1239,628,44842_2_CloseFaster_FasterAll_User ID Display,2,0
9950,9950,09/06/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.269945,1239,304,44721_4_CloserTwins_Cutdown1A_Domain Display,,
21523,21523,06/09/2022,1,CloserTwins,CloseMore,Domain Display,0,7.284095,1239,65,44810_1_CloserTwins_CloseMore_Domain Display,,
11250,11250,16/06/2022,4,CloseFaster,FasterAll,Domain Display,1,6.063346,1238,230,44728_4_CloseFaster_FasterAll_Domain Display,1,0
23219,23219,21/09/2022,4,CloserTwins,Cutdown1A,Domain Display,0,17.857435,1238,199,44825_4_CloserTwins_Cutdown1A_Domain Display,2,0
21255,21255,03/09/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.134638,1238,143,44807_4_CloserTwins_Cutdown1A_Domain Display,,
1786,1786,02/05/2022,1,CloserTwins,ShapeUp,LinkedIn,0,25.96287254,1237,246,44683_1_CloserTwins_ShapeUp_LinkedIn,1,0
8276,8276,31/05/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.262116,1237,270,44712_4_CloserTwins_Cutdown1A_Domain Display,1,0
9389,9389,06/06/2022,4,CloseFaster,FasterAll,Domain Display,0,6.056259,1237,190,44718_4_CloseFaster_FasterAll_Domain Display,,
14470,14470,08/07/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.078168,1237,187,44750_4_CloserTwins_Cutdown1A_Domain Display,,
15460,15460,17/07/2022,5,CloseFaster,MoreAll,Domain Display,0,3.798319,1237,24,44759_5_CloseFaster_MoreAll_Domain Display,,
11257,11257,16/06/2022,4,CloserTwins,Cutdown1A,Domain Display,2,18.237735,1236,204,44728_4_CloserTwins_Cutdown1A_Domain Display,3,0
16518,16518,27/07/2022,4,CloserTwins,Faceoff,Domain Display,0,18.011912,1236,105,44769_4_CloserTwins_Faceoff_Domain Display,1,0
19764,19764,22/08/2022,1,CloserTwins,Faster,Domain Display,2,0,1236,87,44795_1_CloserTwins_Faster_Domain Display,1,0
2209,2209,04/05/2022,1,CloserTwins,Namaste,LinkedIn,0,28.66064065,1236,276,44685_1_CloserTwins_Namaste_LinkedIn,,
15430,15430,17/07/2022,3,UnfairAdvantage,NoDTI,Domain Display,1,6.971297,1236,46,44759_3_UnfairAdvantage_NoDTI_Domain Display,,
14886,14886,12/07/2022,3,UnfairAdvantage,1099,Domain Display,3,11.139432,1235,113,44754_3_UnfairAdvantage_1099_Domain Display,2,0
15102,15102,14/07/2022,3,UnfairAdvantage,1099,Domain Display,1,11.061676,1235,79,44756_3_UnfairAdvantage_1099_Domain Display,1,0
15874,15874,21/07/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.152224,1235,161,44763_4_CloserTwins_Cutdown1A_Domain Display,1,0
23428,23428,23/09/2022,4,CloserTwins,Cutdown1B,Domain Display,0,17.776204,1235,141,44827_4_CloserTwins_Cutdown1B_Domain Display,2,0
13307,13307,27/06/2022,5,CloserTwins,Competitors,Domain Display,3,7.186347,1234,213,44739_5_CloserTwins_Competitors_Domain Display,2,0
25646,25646,15/10/2022,4,CloserTwins,Faceoff,Domain Display,0,0,1234,112,44849_4_CloserTwins_Faceoff_Domain Display,1,0
24763,24763,06/10/2022,1,UnfairAdvantage,1099,Domain Display,1,8.291984,1234,35,44840_1_UnfairAdvantage_1099_Domain Display,,
7629,7629,28/05/2022,4,CloserTwins,MoreLoans,LinkedIn,2,16.74902308,1233,524,44709_4_CloserTwins_MoreLoans_LinkedIn,1,0
12748,12748,24/06/2022,5,UnfairAdvantage,All,LinkedIn,5,147.38,1233,1215,44736_5_UnfairAdvantage_All_LinkedIn,8,0
24958,24958,08/10/2022,2,CloseFaster,MoreAll,User ID Display,3,6.451757,1233,624,44842_2_CloseFaster_MoreAll_User ID Display,6,0
7622,7622,28/05/2022,4,CloserTwins,Cutdown1A,LinkedIn,1,16.68760806,1232,576,44709_4_CloserTwins_Cutdown1A_LinkedIn,1,0
10320,10320,11/06/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.188688,1232,178,44723_4_CloserTwins_Cutdown1A_Domain Display,1,0
17334,17334,04/08/2022,4,CloseFaster,MoreAll,Domain Display,0,5.992997,1232,178,44777_4_CloseFaster_MoreAll_Domain Display,1,0
17441,17441,05/08/2022,4,CloserTwins,Cutdown1A,Domain Display,0,17.897067,1232,150,44778_4_CloserTwins_Cutdown1A_Domain Display,3,0
7632,7632,28/05/2022,4,CloserTwins,Paperwork,LinkedIn,1,16.85932849,1231,488,44709_4_CloserTwins_Paperwork_LinkedIn,1,0
21018,21018,01/09/2022,4,CloserTwins,Faceoff,Domain Display,0,18.125147,1231,94,44805_4_CloserTwins_Faceoff_Domain Display,1,0
25370,25370,12/10/2022,5,CloseFaster,FasterAll,Domain Display,0,0,1231,72,44846_5_CloseFaster_FasterAll_Domain Display,1,0
25644,25644,15/10/2022,4,CloserTwins,Cutdown1B,Domain Display,0,0,1231,116,44849_4_CloserTwins_Cutdown1B_Domain Display,1,0
9394,9394,06/06/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.176655,1231,228,44718_4_CloserTwins_Cutdown1A_Domain Display,,
18548,18548,13/08/2022,1,UnfairAdvantage,1099,Domain Display,0,10.350228,1231,94,44786_1_UnfairAdvantage_1099_Domain Display,,
323,323,21/04/2022,5,CloserTwins,MoreLoansAll,Domain Display,2,5.202829,1230,624,44672_5_CloserTwins_MoreLoansAll_Domain Display,4,0
19393,19393,18/08/2022,4,CloserTwins,Cutdown1A,Domain Display,1,0,1230,146,44791_4_CloserTwins_Cutdown1A_Domain Display,5,0
19595,19595,20/08/2022,3,UnfairAdvantage,one_page,Domain Display,1,0,1230,93,44793_3_UnfairAdvantage_one_page_Domain Display,1,0
25285,25285,11/10/2022,5,UnfairAdvantage,All,LinkedIn,8,117.02,1230,0,44845_5_UnfairAdvantage_All_LinkedIn,2,0
16530,16530,27/07/2022,5,CloseFaster,FasterAll,Domain Display,1,5.988857,1230,36,44769_5_CloseFaster_FasterAll_Domain Display,,
20893,20893,31/08/2022,4,CloserTwins,Competitors,Domain Display,1,7.256185,1230,122,44804_4_CloserTwins_Competitors_Domain Display,,
13735,13735,01/07/2022,5,CloserTwins,Competitors,Domain Display,1,7.144259,1229,165,44743_5_CloserTwins_Competitors_Domain Display,1,0
15783,15783,20/07/2022,5,CloseFaster,FasterAll,Domain Display,3,5.891662,1229,40,44762_5_CloseFaster_FasterAll_Domain Display,4,0
20923,20923,31/08/2022,5,CloserTwins,MoreLoansAll,Domain Display,4,5.915052,1229,49,44804_5_CloserTwins_MoreLoansAll_Domain Display,2,0
7633,7633,28/05/2022,4,CloserTwins,ShapeUp,LinkedIn,1,16.96755255,1229,549,44709_4_CloserTwins_ShapeUp_LinkedIn,,
865,865,26/04/2022,4,CloserTwins,Cutdown1B,Domain Display,0,18.095805,1228,295,44677_4_CloserTwins_Cutdown1B_Domain Display,4,0
6081,6081,21/05/2022,4,CloserTwins,Faceoff1,LinkedIn,1,14.66627384,1228,359,44702_4_CloserTwins_Faceoff1_LinkedIn,1,0
14038,14038,04/07/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.009413,1228,114,44746_4_CloserTwins_Cutdown1A_Domain Display,1,0
10880,10880,14/06/2022,4,CloserTwins,Cutdown1A,Domain Display,0,18.144107,1228,234,44726_4_CloserTwins_Cutdown1A_Domain Display,,
16719,16719,29/07/2022,4,CloseFaster,MoreAll,Domain Display,2,5.991758,1227,160,44771_4_CloseFaster_MoreAll_Domain Display,,
3961,3961,12/05/2022,1,CloserTwins,ShapeUp,LinkedIn,0,30.91178716,1226,223,44693_1_CloserTwins_ShapeUp_LinkedIn,1,0
20985,20985,01/09/2022,3,CloseFaster,FasterAll,User ID Display,5,5.487681,1226,833,44805_3_CloseFaster_FasterAll_User ID Display,3,0
19999,19999,24/08/2022,1,UnfairAdvantage,1099,Domain Display,0,9.194884,1226,98,44797_1_UnfairAdvantage_1099_Domain Display,,
24547,24547,04/10/2022,1,UnfairAdvantage,1099,Domain Display,0,8.246949,1226,39,44838_1_UnfairAdvantage_1099_Domain Display,,
2419,2419,05/05/2022,1,CloserTwins,MoreLoans,LinkedIn,0,28.29694446,1225,238,44686_1_CloserTwins_MoreLoans_LinkedIn,,
2164,2164,03/05/2022,5,CloserTwins,Namaste,LinkedIn,3,22.08391433,1224,653,44684_5_CloserTwins_Namaste_LinkedIn,1,0
4756,4756,15/05/2022,4,CloserTwins,Cutdown1B,LinkedIn,1,15.85907799,1224,469,44696_4_CloserTwins_Cutdown1B_LinkedIn,1,0
16726,16726,29/07/2022,4,CloserTwins,Faceoff,Domain Display,0,17.821344,1224,139,44771_4_CloserTwins_Faceoff_Domain Display,1,0
25038,25038,09/10/2022,2,CloseFaster,FasterAll,User ID Display,7,6.367133,1224,629,44843_2_CloseFaster_FasterAll_User ID Display,11,0
2429,2429,05/05/2022,1,CloserTwins,ShapeUp,LinkedIn,0,28.5225339,1224,236,44686_1_CloserTwins_ShapeUp_LinkedIn,,
11874,11874,20/06/2022,1,UnfairAdvantage,1099,Domain Display,0,7.809754,1224,56,44732_1_UnfairAdvantage_1099_Domain Display,,
4098,4098,12/05/2022,4,CloserTwins,Faceoff1,LinkedIn,2,15.09396825,1223,502,44693_4_CloserTwins_Faceoff1_LinkedIn,2,0
6307,6307,22/05/2022,4,CloserTwins,Namaste,LinkedIn,1,14.42740531,1223,321,44703_4_CloserTwins_Namaste_LinkedIn,,
14696,14696,10/07/2022,4,UnfairAdvantage,Animated,Domain Display,0,5.970334,1222,118,44752_4_UnfairAdvantage_Animated_Domain Display,1,0
16622,16622,28/07/2022,4,CloserTwins,Faceoff,Domain Display,0,17.859015,1222,171,44770_4_CloserTwins_Faceoff_Domain Display,1,0
19188,19188,16/08/2022,4,CloserTwins,Cutdown1A,Domain Display,0,0,1222,159,44789_4_CloserTwins_Cutdown1A_Domain Display,2,0
21105,21105,02/09/2022,3,CloseFaster,FasterAll,User ID Display,2,5.474017,1222,785,44806_3_CloseFaster_FasterAll_User ID Display,3,0
23326,23326,22/09/2022,4,CloserTwins,Faceoff,Domain Display,0,17.76193,1222,180,44826_4_CloserTwins_Faceoff_Domain Display,1,0
6960,6960,25/05/2022,4,CloserTwins,Cutdown1A,Domain Display,1,18.045778,1222,212,44706_4_CloserTwins_Cutdown1A_Domain Display,,
25119,25119,10/10/2022,1,UnfairAdvantage,one_page,Domain Display,0,8.185584,1222,26,44844_1_UnfairAdvantage_one_page_Domain Display,,
